Question,Option1,Option2,Option3,Option4,CorrectAnswer
"Thủ đô của Việt Nam là gì?","Hà Nội","TP. Hồ Chí Minh","Đà Nẵng","Huế",0
"2 + 2 = ?","3","4","5","6",1
"Ngôn ngữ lập trình web phổ biến nhất là gì?","Python","Java","JavaScript","C++",2
"HTML viết tắt của từ gì?","Hyper Text Markup Language","High Tech Modern Language","Home Tool Markup Language","Hyperlinks and Text Markup Language",0
"CSS được sử dụng để làm gì?","Tạo cơ sở dữ liệu","Thiết kế giao diện web","Lập trình logic","Quản lý server",1
"React được phát triển bởi công ty nào?","Google","Microsoft","Facebook","Amazon",2
"Đơn vị đo tốc độ xử lý của CPU là gì?","MB","GB","GHz","KB",2
"HTTP là gì?","Hệ điều hành","Giao thức truyền tải siêu văn bản","Ngôn ngữ lập trình","Phần mềm diệt virus",1
"Git được sử dụng để làm gì?","Chỉnh sửa hình ảnh","Quản lý phiên bản mã nguồn","Tạo website","Thiết kế đồ họa",1
"API viết tắt của từ gì?","Application Programming Interface","Advanced Programming Integration","Automated Program Interaction","Application Process Integration",0
